idx	label	sentence1	sentence2	lexical-semantics	predicate-argument-structure	logic	knowledge
43	not_entailment	In example (1) it is quite difficult to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
44	entailment	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite easy to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
45	entailment	In example (1) it is quite easy to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
46	not_entailment	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite important to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
47	not_entailment	In example (1) it is quite important to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	Lexical entailment			
48	entailment	Some dogs like to scratch their ears.	Some animals like to scratch their ears.	Lexical entailment		Upward monotone	
49	not_entailment	Some animals like to scratch their ears.	Some dogs like to scratch their ears.	Lexical entailment		Upward monotone	
50	not_entailment	"Cruz has frequently derided as ""amnesty"" various plans that confer legal status or citizenship on people living in the country illegally."	"Cruz has frequently derided as ""amnesty"" various bills that confer legal status or citizenship on people living in the country illegally."			Upward monotone	World knowledge
51	entailment	"Cruz has frequently derided as ""amnesty"" various bills that confer legal status or citizenship on people living in the country illegally."	"Cruz has frequently derided as ""amnesty"" various plans that confer legal status or citizenship on people living in the country illegally."			Upward monotone	World knowledge
52	entailment	Most of the graduates of my program have moved on to other things because the jobs suck.	Some of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
53	not_entailment	Some of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
54	entailment	"In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."	"In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."		Intersectivity	Upward monotone	
55	not_entailment	"In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."	"In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."		Intersectivity	Upward monotone	
56	entailment	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider some words as positive examples and sample negatives at random from the dictionary.		Intersectivity	Upward monotone	
57	not_entailment	We consider some words as positive examples and sample negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.		Intersectivity	Upward monotone	
58	not_entailment	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider all context words as positive examples and sample many negatives at random from the dictionary.	Quantifiers			
59	not_entailment	We consider all context words as positive examples and sample many negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.	Quantifiers			
60	not_entailment	We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider many context words as positive examples and sample negatives at random from the dictionary.	Quantifiers			
61	entailment	We consider many context words as positive examples and sample negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.	Quantifiers			
62	not_entailment	We consider all context words as positive examples and sample negatives at random from the dictionary.	We consider all words as positive examples and sample negatives at random from the dictionary.		Intersectivity	Downward monotone	
63	entailment	We consider all words as positive examples and sample negatives at random from the dictionary.	We consider all context words as positive examples and sample negatives at random from the dictionary.		Intersectivity	Downward monotone	
64	not_entailment	All dogs like to scratch their ears.	All animals like to scratch their ears.	Lexical entailment		Downward monotone	
65	entailment	All animals like to scratch their ears.	All dogs like to scratch their ears.	Lexical entailment		Downward monotone	
66	entailment	"Cruz has frequently derided as ""amnesty"" any plan that confers legal status or citizenship on people living in the country illegally."	"Cruz has frequently derided as ""amnesty"" any bill that confers legal status or citizenship on people living in the country illegally."			Downward monotone	World knowledge
67	not_entailment	"Cruz has frequently derided as ""amnesty"" any bill that confers legal status or citizenship on people living in the country illegally."	"Cruz has frequently derided as ""amnesty"" any plan that confers legal status or citizenship on people living in the country illegally."			Downward monotone	World knowledge
68	not_entailment	Most of the graduates of my program have moved on to other things because the jobs suck.	None of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
69	not_entailment	None of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
70	not_entailment	Most of the graduates of my program have moved on to other things because the jobs suck.	All of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
71	not_entailment	All of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.	Quantifiers			
72	entailment	"In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."	"In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."		Intersectivity	Downward monotone	
73	not_entailment	"In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."	"In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding."		Intersectivity	Downward monotone	
74	entailment	Tom and Adam were whispering in the theater.	Tom and Adam were whispering quietly in the theater.	Redundancy			
75	entailment	Tom and Adam were whispering quietly in the theater.	Tom and Adam were whispering in the theater.	Redundancy			
76	not_entailment	Tom and Adam were whispering in the theater.	Tom and Adam were whispering loudly in the theater.	Redundancy			
77	entailment	Tom and Adam were whispering loudly in the theater.	Tom and Adam were whispering in the theater.	Redundancy			
78	entailment	"Prior to the dance, which is voluntary, students are told to fill out a card by selecting five people they want to dance with."	"Prior to the dance, which is voluntary, students are told to fill out a card by selecting five different people they want to dance with."	Redundancy			
79	entailment	"Prior to the dance, which is voluntary, students are told to fill out a card by selecting five different people they want to dance with."	"Prior to the dance, which is voluntary, students are told to fill out a card by selecting five people they want to dance with."	Redundancy			
80	entailment	"Notifications about Farmville and other crap had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns."	"Notifications about Farmville and other crappy apps had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns."	Redundancy			
81	entailment	"Notifications about Farmville and other crappy apps had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns."	"Notifications about Farmville and other crap had become unbearable, then the shift to the non-chronological timeline happened and the content from your friends started to be replaced by ads and other cringy wannabe-viral campaigns."	Redundancy			
82	entailment	Chicago City Hall is the official seat of government of the City of Chicago.	Chicago City Hall is the official seat of government of Chicago.	Redundancy			
83	entailment	Chicago City Hall is the official seat of government of Chicago.	Chicago City Hall is the official seat of government of the City of Chicago.	Redundancy			
84	entailment	"The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous formulations of the task."	"The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous other formulations of the task."	Redundancy			
85	entailment	"The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous other formulations of the task."	"The question generation aspect is unique to our formulation, and corresponds roughly to identifying what semantic role labels are present in previous formulations of the task."	Redundancy			
86	entailment	John ate pasta for dinner.	John ate pasta for supper.	Lexical entailment			
87	entailment	John ate pasta for supper.	John ate pasta for dinner.	Lexical entailment			
88	not_entailment	John ate pasta for dinner.	John ate pasta for breakfast.	Lexical entailment			
89	not_entailment	John ate pasta for breakfast.	John ate pasta for dinner.	Lexical entailment			
90	entailment	House Speaker Paul Ryan was facing problems from fellow Republicans dissatisfied with his leadership.	House Speaker Paul Ryan was facing problems from fellow Republicans unhappy with his leadership.	Lexical entailment			
91	entailment	House Speaker Paul Ryan was facing problems from fellow Republicans unhappy with his leadership.	House Speaker Paul Ryan was facing problems from fellow Republicans dissatisfied with his leadership.	Lexical entailment			
92	not_entailment	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans dissatisfied with his leadership.	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans supportive of his leadership.	Lexical entailment			
93	not_entailment	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans supportive of his leadership.	House Speaker Paul Ryan was facing problems uniquely from fellow Republicans dissatisfied with his leadership.	Lexical entailment			
94	entailment	I can actually see him climbing into a Lincoln saying this.	I can actually see him getting into a Lincoln saying this.	Lexical entailment			
95	entailment	I can actually see him getting into a Lincoln saying this.	I can actually see him climbing into a Lincoln saying this.	Lexical entailment			
96	not_entailment	I can actually see him climbing into a Lincoln saying this.	I can actually see him climbing into a Mazda saying this.	Lexical entailment			
97	not_entailment	I can actually see him climbing into a Mazda saying this.	I can actually see him climbing into a Lincoln saying this.	Lexical entailment			
98	entailment	The villain is the character who tends to have a negative effect on other characters.	The villain is the character who tends to have a negative impact on other characters.	Lexical entailment			
99	entailment	The villain is the character who tends to have a negative impact on other characters.	The villain is the character who tends to have a negative effect on other characters.	Lexical entailment			
100	not_entailment	The villain is the character who tends to have a negative effect on other characters.	The villain is the character who tends to have a negative correlation with other characters.	Lexical entailment			
101	not_entailment	The villain is the character who tends to have a negative correlation with other characters.	The villain is the character who tends to have a negative effect on other characters.	Lexical entailment			
102	entailment	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing typically needs a set of operations to query the knowledge base and process the results.	Lexical entailment			
103	entailment	Semantic parsing typically needs a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Lexical entailment			
104	not_entailment	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing typically creates a set of operations to query the knowledge base and process the results.	Lexical entailment			
105	not_entailment	Semantic parsing typically creates a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Lexical entailment			
106	not_entailment	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Semantic parsing infrequently creates a set of operations to query the knowledge base and process the results.	Lexical entailment			
107	not_entailment	Semantic parsing infrequently creates a set of operations to query the knowledge base and process the results.	Semantic parsing typically requires using a set of operations to query the knowledge base and process the results.	Lexical entailment			
108	entailment	John broke the window.	The window was broken by John.		Active/Passive		
109	entailment	The window was broken by John.	John broke the window.		Active/Passive		
110	not_entailment	John broke the window.	The window broke John.		Active/Passive		
111	not_entailment	The window broke John.	John broke the window.		Active/Passive		
112	entailment	Mueller’s team asked former senior Justice Department officials for informatio	Former senior Justice Department officials were asked for information by Mueller's team.		Active/Passive		
113	entailment	Former senior Justice Department officials were asked for information by Mueller's team.	Mueller’s team asked former senior Justice Department officials for informatio		Active/Passive		
114	not_entailment	Mueller’s team asked former senior Justice Department officials for informatio	Mueller’s team was asked for information by former senior Justice Department official		Active/Passive		
115	not_entailment	Mueller’s team was asked for information by former senior Justice Department official	Mueller’s team asked former senior Justice Department officials for informatio		Active/Passive		
116	not_entailment	Mueller’s team asked former senior Justice Department officials for informatio	Mueller’s team was asked for informatio		Active/Passive		
117	not_entailment	Mueller’s team was asked for informatio	Mueller’s team asked former senior Justice Department officials for informatio		Active/Passive		
118	not_entailment	Mueller’s team asked former senior Justice Department officials for informatio	Former senior Justice Department officials weren't asked for information.		Active/Passive	Negation	
119	not_entailment	Former senior Justice Department officials weren't asked for information.	Mueller’s team asked former senior Justice Department officials for informatio		Active/Passive	Negation	
120	entailment	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when Congress was asked to allow his cabinet secretaries to terminate whoever they want.		Active/Passive		
121	entailment	Everyone should be afraid of the part when Congress was asked to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.		Active/Passive		
122	not_entailment	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he was asked to allow his cabinet secretaries to terminate whoever they want.		Active/Passive		
123	not_entailment	Everyone should be afraid of the part when he was asked to allow his cabinet secretaries to terminate whoever they want.	Everyone should be afraid of the part when he asked Congress to allow his cabinet secretaries to terminate whoever they want.		Active/Passive		
124	entailment	"Cape sparrows eat seeds, along with soft plant parts and insects."	"Seeds, along with soft plant parts and insects, are eaten by cape sparrows."		Active/Passive		
125	entailment	"Seeds, along with soft plant parts and insects, are eaten by cape sparrows."	"Cape sparrows eat seeds, along with soft plant parts and insects."		Active/Passive		
126	not_entailment	"Cape sparrows eat seeds, along with soft plant parts and insects."	"Cape sparrows are eaten by seeds, along with soft plant parts and insects."		Active/Passive		
127	not_entailment	"Cape sparrows are eaten by seeds, along with soft plant parts and insects."	"Cape sparrows eat seeds, along with soft plant parts and insects."		Active/Passive		
128	not_entailment	"Cape sparrows eat seeds, along with soft plant parts and insects."	Cape sparrows are eaten.		Active/Passive		
129	not_entailment	Cape sparrows are eaten.	"Cape sparrows eat seeds, along with soft plant parts and insects."		Active/Passive		
130	not_entailment	"Cape sparrows eat seeds, along with soft plant parts and insects."	Soft plant parts and insects eat seeds.		Prepositional phrases		
131	not_entailment	Soft plant parts and insects eat seeds.	"Cape sparrows eat seeds, along with soft plant parts and insects."		Prepositional phrases		
132	entailment	"Cape sparrows eat seeds, along with soft plant parts and insects."	Soft plant parts and insects are eaten.		Active/Passive;Prepositional phrases		
133	not_entailment	Soft plant parts and insects are eaten.	"Cape sparrows eat seeds, along with soft plant parts and insects."		Active/Passive;Prepositional phrases		
134	entailment	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Knowledge bases are populated with facts from unstructured text corpora by relation extraction systems.		Active/Passive		
135	entailment	Knowledge bases are populated with facts from unstructured text corpora by relation extraction systems.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.		Active/Passive		
136	entailment	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Knowledge bases are populated by relation extraction systems with facts from unstructured text corpora.		Active/Passive		
137	entailment	Knowledge bases are populated by relation extraction systems with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.		Active/Passive		
138	not_entailment	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems are populated by knowledge bases with facts from unstructured text corpora.		Active/Passive		
139	not_entailment	Relation extraction systems are populated by knowledge bases with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.		Active/Passive		
140	not_entailment	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems are populated with facts from unstructured text corpora by knowledge bases.		Active/Passive		
141	not_entailment	Relation extraction systems are populated with facts from unstructured text corpora by knowledge bases.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.		Active/Passive		
142	entailment	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.	Lexical entailment			World knowledge
143	entailment	Relation extraction systems populate knowledge bases with assertions from unstructured text corpora.	Relation extraction systems populate knowledge bases with facts from unstructured text corpora.	Lexical entailment			World knowledge
144	entailment	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.	The recent move by Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.		Genitives/Partitives		
145	entailment	The recent move by Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.		Genitives/Partitives		
146	not_entailment	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.	The recent move against Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.		Genitives/Partitives		
147	not_entailment	The recent move against Wal-Mart is tied to its continuing efforts to beat back competition against retailers like Amazon.	Wal-Mart's recent move is tied to its continuing efforts to beat back competition against retailers like Amazon.		Genitives/Partitives		
148	entailment	The man gets down on one knee and inspects the bottom of the elephant's foot only to find a large thorn deeply embedded.	The man gets down on one knee and inspects the bottom of the foot of the elephant only to find a large thorn deeply embedded.		Genitives/Partitives		
149	entailment	The man gets down on one knee and inspects the bottom of the foot of the elephant only to find a large thorn deeply embedded.	The man gets down on one knee and inspects the bottom of the elephant's foot only to find a large thorn deeply embedded.		Genitives/Partitives		
150	entailment	"The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities."	"The population of the Cape sparrow has not decreased significantly, and is not seriously threatened by human activities."		Genitives/Partitives		
151	entailment	"The population of the Cape sparrow has not decreased significantly, and is not seriously threatened by human activities."	"The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities."		Genitives/Partitives		
152	not_entailment	"The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities."	"The population of the Cape sparrow has decreased significantly, and is seriously threatened by human activities."		Genitives/Partitives	Negation	
153	not_entailment	"The population of the Cape sparrow has decreased significantly, and is seriously threatened by human activities."	"The Cape sparrow's population has not decreased significantly, and is not seriously threatened by human activities."		Genitives/Partitives	Negation	
154	entailment	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.	This paper presents an approach for understanding these message vectors' content by translating them into natural language.		Genitives/Partitives		
155	entailment	This paper presents an approach for understanding these message vectors' content by translating them into natural language.	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.		Genitives/Partitives		
156	not_entailment	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.	This paper presents an approach for understanding the contents of these message vectors by translating them into foreign language.	Lexical entailment			
157	not_entailment	This paper presents an approach for understanding the contents of these message vectors by translating them into foreign language.	This paper presents an approach for understanding the contents of these message vectors by translating them into natural language.	Lexical entailment			
158	entailment	She is skilled at violin.	She is a skilled violinist.		Intersectivity		
159	entailment	She is a skilled violinist.	She is skilled at violin.		Intersectivity		
160	not_entailment	She is skilled.	She is a skilled violinist.		Intersectivity		
161	entailment	She is a skilled violinist.	She is skilled.		Intersectivity		
162	not_entailment	She is a surgeon and skilled violinist.	She is a skilled surgeon.		Intersectivity		
163	not_entailment	She is a skilled surgeon.	She is a surgeon and skilled violinist.		Intersectivity		
164	entailment	The combination of mentos and diet coke caused the explosion.	Combining mentos and diet coke caused the explosion.		Nominalization		
165	entailment	Combining mentos and diet coke caused the explosion.	The combination of mentos and diet coke caused the explosion.		Nominalization		
166	entailment	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times."	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's submission of a letter of resignation, according to The New York Times."		Nominalization		
167	entailment	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's submission of a letter of resignation, according to The New York Times."	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times."		Nominalization		
168	not_entailment	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times."	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's withholding of a letter of resignation, according to The New York Times."	Lexical entailment	Nominalization		
169	not_entailment	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general's withholding of a letter of resignation, according to The New York Times."	"In an Oval Office meeting after Mueller's appointment, Trump told Sessions he should resign, prompting the attorney general to submit a letter of resignation, according to The New York Times."	Lexical entailment	Nominalization		
170	entailment	"Thought this was super cool, and a really important step in preserving all the physical books."	"Thought this was super cool, and a really important step in the preservation of all the physical books."		Nominalization		
171	entailment	"Thought this was super cool, and a really important step in the preservation of all the physical books."	"Thought this was super cool, and a really important step in preserving all the physical books."		Nominalization		
172	not_entailment	"Thought this was super cool, and a really important step in preserving all the physical books."	"Thought this was super cool, and a really important step in the destruction of all the physical books."	Lexical entailment	Nominalization		
173	not_entailment	"Thought this was super cool, and a really important step in the destruction of all the physical books."	"Thought this was super cool, and a really important step in preserving all the physical books."	Lexical entailment	Nominalization		
174	not_entailment	"Thought this was super cool, and a really important step in preserving all the physical books."	"Thought this was super cool, and a really important step in the processing of all the physical books."	Lexical entailment	Nominalization		
175	not_entailment	"Thought this was super cool, and a really important step in the processing of all the physical books."	"Thought this was super cool, and a really important step in preserving all the physical books."	Lexical entailment	Nominalization		
176	entailment	"Thought this was super cool, and a really important step in preserving all the physical books."	"Thought this was super cool, and a really important step in all the physical books' preservation."		Nominalization;Genitives/Partitives		
